timestamp,myecg,context_myecg,date (Asia/Dhaka)
1.67059E+12,471,{},2022-12-09 18:32:25.924000+06:00
1.67059E+12,569,{},2022-12-09 18:32:24.778000+06:00
1.67059E+12,528,{},2022-12-09 18:32:23.940000+06:00
1.67059E+12,502,{},2022-12-09 18:32:22.977000+06:00
1.67059E+12,592,{},2022-12-09 18:32:21.573000+06:00
1.67059E+12,525,{},2022-12-09 18:32:20.002000+06:00
1.67059E+12,523,{},2022-12-09 18:32:19.638000+06:00
1.67059E+12,559,{},2022-12-09 18:32:18.676000+06:00
1.67059E+12,504,{},2022-12-09 18:32:17.480000+06:00
1.67059E+12,533,{},2022-12-09 18:32:16.397000+06:00
1.67059E+12,521,{},2022-12-09 18:32:15.003000+06:00
1.67059E+12,568,{},2022-12-09 18:32:14.037000+06:00
1.67059E+12,513,{},2022-12-09 18:32:13.014000+06:00
1.67059E+12,533,{},2022-12-09 18:32:12.593000+06:00
1.67059E+12,509,{},2022-12-09 18:32:11.719000+06:00
1.67059E+12,521,{},2022-12-09 18:32:10.698000+06:00
1.67059E+12,619,{},2022-12-09 18:32:09.699000+06:00
1.67059E+12,518,{},2022-12-09 18:32:08.004000+06:00
1.67059E+12,470,{},2022-12-09 18:32:07.003000+06:00
1.67059E+12,576,{},2022-12-09 18:32:06.682000+06:00
1.67059E+12,521,{},2022-12-09 18:32:05.808000+06:00
1.67059E+12,529,{},2022-12-09 18:32:04.830000+06:00
1.67059E+12,502,{},2022-12-09 18:32:03.847000+06:00
1.67059E+12,525,{},2022-12-09 18:32:02.062000+06:00
1.67059E+12,502,{},2022-12-09 18:32:01.194000+06:00
1.67059E+12,502,{},2022-12-09 18:31:59.779000+06:00
1.67059E+12,487,{},2022-12-09 18:31:58.778000+06:00
1.67059E+12,550,{},2022-12-09 18:31:57.816000+06:00
1.67059E+12,470,{},2022-12-09 18:31:56.055000+06:00
1.67059E+12,528,{},2022-12-09 18:31:55.002000+06:00
1.67059E+12,553,{},2022-12-09 18:31:54.001000+06:00
1.67059E+12,554,{},2022-12-09 18:31:53.655000+06:00
1.67059E+12,578,{},2022-12-09 18:31:52.006000+06:00
1.67059E+12,531,{},2022-12-09 18:31:51.005000+06:00
1.67059E+12,554,{},2022-12-09 18:31:50.003000+06:00
1.67059E+12,552,{},2022-12-09 18:31:49.582000+06:00
1.67059E+12,517,{},2022-12-09 18:31:48.690000+06:00
1.67059E+12,934,{},2022-12-09 18:31:47.794000+06:00
1.67059E+12,572,{},2022-12-09 18:31:46.475000+06:00
1.67059E+12,504,{},2022-12-09 18:31:45.615000+06:00
1.67059E+12,523,{},2022-12-09 18:31:44.722000+06:00
1.67059E+12,504,{},2022-12-09 18:31:43.743000+06:00
1.67059E+12,521,{},2022-12-09 18:31:42.573000+06:00
1.67059E+12,519,{},2022-12-09 18:31:41.723000+06:00
1.67059E+12,553,{},2022-12-09 18:31:40.758000+06:00
1.67059E+12,505,{},2022-12-09 18:31:39.770000+06:00
